title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Hatha Alhub","Dafy, Mustafa Al-Abdullah","Hatha Alhub",LBA0H2002536,beatport,23002255,209,,,https://beatport.com/track/hatha-alhub/23002255
HAHA,"Bolis Pupul, Charlotte Adigéry",HAHA,UKS362100084,beatport,23027870,207,,,https://beatport.com/track/haha/23027870
"3yan T3ban - Oddisee Remix","Alsarah & The Nubatones","Manara Remixed",USCCW1610673,beatport,9836099,162,,,https://beatport.com/track/3yan-t3ban/9836099
"What Is Downtempo?",Iorie,"What Is Downtempo?",DEY472174500,beatport,15508365,531,,,https://beatport.com/track/what-is-downtempo/15508365
"Waiting For A (Woman) feat. Anbuley - The Revenge Rework | Dixon Beat Edit","Anbuley, Auntie Flo","Theory of Flo Remixed",GBJX37115020,beatport,8995808,383,,,https://beatport.com/track/waiting-for-a-woman-feat-anbuley/8995808
"Don't Start Now - Dom Dolla Remix","Dua Lipa","Don't Start Now (Remixes)",GBAHT1901164,beatport,21004884,211,,,https://beatport.com/track/dont-start-now/21004884
"Listen Up! - MSTRKRFT Remix",Gossip,"GSSP RMX",USKRS0647302,beatport,26259486,411,,,https://beatport.com/track/listen-up/26259486
"I Heard","Funk The Beat","Miami 2019",QZ5FN1971166,beatport,11780687,358,,,https://beatport.com/track/i-heard/11780687
"Daft Punk Is Playing at My House - Soulwax Shibuya Mix","LCD Soundsystem",Introns,US4GE0400046,beatport,13802168,411,,,https://beatport.com/track/daft-punk-is-playing-at-my-house/13802168
Khala,Shkoon,TRACES,FR2X42681105,beatport,28704406,281,,,https://beatport.com/track/khala/28704406
"Tribulations - Tiga's out of the Trance Closet Mix","LCD Soundsystem",Introns,US4GE0500076,beatport,13802172,364,,,https://beatport.com/track/tribulations/13802172
"Make Me - Franky Rizardo Extended Remix","Borai & Denham Audio","Make Me (Franky Rizardo Extended Remix)",GBARL2301827,beatport,18445022,343,,,https://beatport.com/track/make-me/18445022
"Shingalin - Simone Vitullo Remix","Simone Vitullo, Felipe Puertes","Simone Vitullo's Remixes Collection",ITG281000010,beatport,3585524,457,,,https://beatport.com/track/shingalin/3585524
"My Warehouse - M.A.N.D.Y. Remix - Emanuel Satie Rework","Roland Leesker","Remixes Reworked, EP 2",DEBE71500363,beatport,7361956,407,,,https://beatport.com/track/my-warehouse/7361956
"Remish - Rey&Kjavik Remix","DJ T.",Remish,DEBE72000083,beatport,13264605,388,,,https://beatport.com/track/remish/13264605
"Der Buchdrucker - Heimische Gefilde Edit","Dominik Eulberg","Heimische Gefilde (Vinyl Edition)",DEBW20700046,beatport,17566137,437,,,https://beatport.com/track/der-buchdrucker/17566137
Headlights,"Hot Toddy Super Magic","Barcelona - Paris. 2nd Flight (Select and Mixed by David De Barce)",ES6101323309,beatport,27181945,412,,,https://beatport.com/track/headlights/27181945
"Motion Sickness - Stromba Version","Chicken Lips","Motion Sickness",GBHCD0648012,beatport,1349518,564,,,https://beatport.com/track/motion-sickness/1349518
"What's Up Sunny Boy?",Digitaline,"Voltaire Music pres. V",DEW871901247,beatport,11573482,431,,,https://beatport.com/track/whats-up-sunny-boy/11573482
"Karrera - Original","Booka Shade","Blackout: White Noise",GBBN41200049,beatport,4241067,474,,,https://beatport.com/track/karrera/4241067
"Twilight Language - Extended Version","Rodriguez Jr.","Twilight Language (Extended Version)",FRX762495279,beatport,19070938,383,,,https://beatport.com/track/twilight-language/19070938
"Brighter Days - Monkey Safari Extended Remix","Sintra, LUCH, Landon Ryle","Purified Remixes III",CH3132420313,beatport,21982032,354,,,https://beatport.com/track/brighter-days/21982032
"Keep the Fire Burning - Stones Mix","Gwen Mccrae","Euro Dance Classics, Vol. 1",DEPU31211382,beatport,4862171,450,,,https://beatport.com/track/keep-the-fire-burning/4862171
"About Damn Time - Tall Boys Slam Intro - Clean",Lizzo,"About Damn Time",USAT22203696,beatport,24358726,196,,,https://beatport.com/track/about-damn-time/24358726
"About Damn Time - Tall Boys Slam Intro",Lizzo,"About Damn Time",USAT22203696,beatport,24358727,196,,,https://beatport.com/track/about-damn-time/24358727
"Let It Run - Momo Khani & Meindel Remake","Chasing Kurt","Milk & Sugar Beach Sessions 2025",DEM931900011,beatport,20884560,343,,,https://beatport.com/track/let-it-run/20884560
"Bad News - OOFT! Deep Remix","6th Borough Project","Find Your Rhythm (Remixes, Pt. 2)",UK3PP1900006,beatport,11793988,370,,,https://beatport.com/track/bad-news/11793988
